,team,games,errors,pick_offs,putouts,assists,double_plays,fielding_pct,passed_balls,stolen_bases,caught_stealing,cs_percent,year,win,lose,draw,win_rate,rank,errors_per_game,pick_offs_per_game,putouts_per_game,assists_per_game,double_plays_per_game,passed_balls_per_game,predicted_win_rate,residual
0,Doosan Bears,133,109,3,3541,1599,140,0.979,12,126,56,30.8,2001,65,63,5,0.508,3,0.8195488721804511,0.022556390977443608,26.62406015037594,12.022556390977444,1.0526315789473684,0.09022556390977443,0.49090705109320343,0.01709294890679658
1,Hanwha Eagles,133,117,2,3555,1413,130,0.977,9,111,48,30.2,2001,61,68,4,0.473,4,0.8796992481203008,0.015037593984962405,26.729323308270676,10.62406015037594,0.9774436090225563,0.06766917293233082,0.5115928103283887,-0.03859281032838868
2,Hyundai Unicorns,133,116,6,3550,1553,147,0.978,5,96,69,41.8,2001,72,57,4,0.558,2,0.8721804511278195,0.045112781954887216,26.69172932330827,11.676691729323307,1.105263157894737,0.03759398496240601,0.5042050391729651,0.05379496082703494
3,Kia Tigers,133,107,1,3536,1477,134,0.979,10,100,53,34.6,2001,60,68,5,0.469,5,0.8045112781954887,0.007518796992481203,26.586466165413533,11.105263157894736,1.0075187969924813,0.07518796992481203,0.4835192799377799,-0.014519279937779905
4,LG Twins,133,103,12,3554,1485,129,0.98,16,110,55,33.3,2001,58,67,8,0.464,6,0.7744360902255639,0.09022556390977443,26.721804511278197,11.165413533834586,0.9699248120300752,0.12030075187969924,0.5101152560973041,-0.0461152560973041
5,Lotte Giants,133,99,9,3515,1518,141,0.981,12,85,58,40.6,2001,59,70,4,0.457,8,0.7443609022556391,0.06766917293233082,26.428571428571427,11.413533834586467,1.0601503759398496,0.09022556390977443,0.45249064108500114,0.004509358914998873
6,Incheon,133,96,3,3514,1434,124,0.981,19,106,44,29.3,2001,60,71,2,0.458,7,0.7218045112781954,0.022556390977443608,26.42105263157895,10.781954887218046,0.9323308270676691,0.14285714285714285,0.4510130868539175,0.0069869131460825185
7,Samsung Lions,133,79,7,3562,1365,112,0.984,10,95,48,33.6,2001,81,52,0,0.609,1,0.5939849624060151,0.05263157894736842,26.781954887218046,10.263157894736842,0.8421052631578947,0.07518796992481203,0.5219356899459813,0.08706431005401871
8,Doosan Bears,133,88,3,3549,1447,130,0.983,7,103,53,34.0,2002,66,65,2,0.504,5,0.6616541353383458,0.022556390977443608,26.68421052631579,10.8796992481203,0.9774436090225563,0.05263157894736842,0.5027274849418806,0.0012725150581194278
9,Hanwha Eagles,133,85,10,3554,1363,94,0.983,9,116,43,27.0,2002,59,69,5,0.461,7,0.6390977443609023,0.07518796992481203,26.721804511278197,10.24812030075188,0.706766917293233,0.06766917293233082,0.5101152560973041,-0.049115256097304105
